Age,mg25_ppm
63704,860.7638607
63705,813.2288403
63706,746.5350842
63707,721.5245066
63708,714.4396091
63709,678.5453926
63710,632.4371725
63711,578.961344
63712,566.2134447
63713,642.3095783
63714,750.1142668
63715,816.4569811
63716,784.0965107
63717,723.2351416
63718,760.0317052
63719,884.7404245
63720,982.401755
63721,1008.272922
63722,1007.075608
63723,1049.852745
63724,1122.085873
63725,1215.911762
63726,1289.364529
63727,1260.719346
63728,1142.702064
63729,1022.942577
63730,957.8463498
63731,952.9460863
63732,993.2112563
63733,1016.542433
63734,1047.181405
63735,1059.40763
63736,1044.838855
63737,1016.090468
63738,1012.942905
63739,1098.060938
63740,1211.938551
63741,1376.801109
63742,1565.597878
63743,1703.369839
63744,1695.079881
63745,1664.184179
63746,1790.690215
63747,1960.837336
63748,2070.639799
63749,1988.550543
63750,1697.263457
63751,1384.353339
63752,1156.940368
63753,1001.568042
63754,872.4798686
63755,816.0799302
63756,913.8800793
63757,1190.180449
63758,1391.365084
63759,1386.021624
63760,1299.878977
63761,1316.684259
63762,1531.119221
63763,1657.906235
63764,1621.180972
63765,1501.102395
63766,1370.359567
63767,1272.787026
63768,1337.329527
63769,1530.642857
63770,1671.526529
63771,1837.143434
63772,2107.180734
63773,2331.502368
63774,2292.443995
63775,1914.245202
63776,1494.608152
63777,1296.540397
63778,1331.757648
63779,1556.852011
63780,1720.28178
63781,1751.152827
63782,1740.418292
63783,1770.588905
63784,1803.498688
63785,1801.711919
63786,1728.21594
63787,1636.370149
63788,1586.225619
63789,1567.407246
63790,1580.497913
63791,1492.470957
63792,1373.862565
63793,1344.466774
63794,1441.514686
63795,1558.344819
63796,1511.228337
63797,1293.185505
63798,1017.792202
63799,904.2991766
63800,1008.546276
63801,1100.867767
63802,1017.810809
63803,821.2489059
63804,704.1720894
63805,694.735443
63806,700.4132688
63807,666.2581462
63808,798.8387314
63809,1063.91346
63810,1245.144512
63811,1210.61265
63812,1017.910756
63813,900.7360865
63814,873.8589821
63815,836.6230677
63816,789.4441377
63817,742.9468083
63818,702.7890183
63819,674.3097185
63820,730.6976428
63821,922.4255139
63822,1104.511803
63823,1058.563454
63824,873.701818
63825,663.2938721
63826,590.7486957
63827,595.9208266
63828,598.1919875
63829,670.2703848
63830,743.24578
63831,787.6726772
63832,775.5562094
63833,712.3809522
63834,677.196477
63835,661.3950971
63836,623.3312563
63837,623.2402544
63838,654.304298
63839,646.3924617
63840,590.7785637
63841,515.6187913
63842,551.7087853
63843,654.5853633
63844,726.5559333
63845,846.8858277
63846,984.7467288
63847,1078.259802
63848,1038.806653
63849,909.011421
63850,827.5973282
63851,876.7613479
63852,890.9416378
63853,820.4688973
63854,679.6861279
63855,589.4065148
63856,609.0335858
63857,629.9958175
63858,620.0410084
63859,591.5512044
63860,563.0024557
63861,605.1390374
63862,676.6837236
63863,760.0935668
63864,834.6584136
63865,865.390535
63866,885.8050875
63867,915.0623123
63868,935.0617629
63869,946.057238
63870,921.0963669
63871,919.9150661
63872,990.9067672
63873,1016.811507
63874,1013.615108
63875,939.8049709
63876,881.8581419
63877,847.3588279
63878,834.892703
63879,865.4711728
63880,920.1799752
63881,971.7762135
63882,1005.661451
63883,995.923283
63884,939.0161205
63885,873.5489041
63886,825.4660235
63887,798.2624165
63888,779.7204625
63889,729.1284436
63890,677.159125
63891,645.5750936
63892,635.3287064
63893,638.2451216
63894,593.8056195
63895,535.8561302
63896,518.284445
63897,630.8038471
63898,737.3992713
63899,698.8549523
63900,611.2438066
63901,525.3075847
63902,457.3585373
63903,382.4327154
63904,276.032926
63905,267.2394248
63906,278.4511242
63907,268.9586467
63908,269.6433716
63909,282.5898504
63910,274.1415594
63911,260.3463252
63912,264.4342855
63913,271.7418629
63914,274.4429678
63915,261.6938867
63916,247.6688952
63917,256.6502159
63918,272.4141294
63919,278.3720942
63920,294.3742355
63921,318.4941749
63922,329.6833209
63923,356.5082087
63924,381.2314943
63925,389.6587758
63926,387.2798565
63927,341.1150318
63928,359.2582003
63929,398.4419055
63930,419.5142469
63931,397.9631168
63932,350.1700369
63933,329.6651129
63934,336.0519446
63935,347.0390867
63936,339.3513919
63937,327.6609044
63938,334.4390841
63939,380.0093337
63940,420.1713382
63941,398.66864
63942,351.30459
63943,334.6725453
63944,344.8931649
63945,400.1052718
63946,450.2784567
63947,512.750409
63948,565.7566152
63949,583.280262
63950,583.4733806
63951,572.1815675
63952,606.7305932
63953,651.4102498
63954,697.4479914
63955,701.2620103
63956,691.4650476
63957,683.6975904
63958,704.0900286
63959,736.9686592
63960,718.0156615
63961,665.3122663
63962,621.5437563
63963,599.7110748
63964,579.2226761
63965,567.7108064
63966,545.3160859
63967,517.8259494
63968,504.5171812
63969,497.4997328
63970,496.4547214
63971,480.8441192
63972,457.0237852
63973,446.0223008
63974,416.5347656
63975,388.6497981
63976,369.5684826
63977,377.3220749
63978,355.6557116
63979,355.7897324
63980,375.827566
63981,392.6730957
63982,405.3388721
63983,430.2064369
63984,432.713595
63985,433.6603727
63986,408.139133
63987,409.1241055
63988,438.4816136
63989,477.892175
63990,477.1330225
63991,476.3153435
63992,438.7003916
63993,449.7240426
63994,478.4168862
63995,490.9840381
63996,479.3966248
63997,446.0147682
63998,427.9770259
63999,449.6530698
64000,456.5907361
64001,457.9315572
64002,431.832574
64003,443.2210469
64004,500.1184433
64005,521.0540951
64006,510.2592859
64007,492.715247
64008,464.1709332
64009,474.1282968
64010,460.9222751
64011,435.8203206
64012,432.3533527
64013,415.0947312
64014,403.0792751
64015,396.2615528
64016,389.5419105
64017,387.8535458
64018,376.3283553
64019,366.7629274
64020,374.0462883
64021,377.4304687
64022,369.9121295
64023,369.0979353
64024,364.390776
64025,369.5615734
